name,version,platform,vdpx,framework_version,python_version,min_vam_version
fortinet.appliances,1.1.10,win_amd64,fortinet.appliances-1.1.10-win_amd64._vdpx,2.7.5,3.9,1.38
fortinet.appliances,1.1.10,linux_x86_64,fortinet.appliances-1.1.10-linux_x86_64._vdpx,2.7.5,3.9,1.38
fortinet.fortigate,1.1.11,linux_x86_64,fortinet.fortigate-1.1.11-linux_x86_64._vdpx,2.7.5,3.9,1.38
fortinet.fortigate,1.1.11,win_amd64,fortinet.fortigate-1.1.11-win_amd64._vdpx,2.7.5,3.9,1.38
four_rf.aprisa,1.1.11,win_amd64,four_rf.aprisa-1.1.11-win_amd64._vdpx,2.7.5,3.9,1.38
four_rf.aprisa,1.1.11,linux_x86_64,four_rf.aprisa-1.1.11-linux_x86_64._vdpx,2.7.5,3.9,1.38
freewave_technologies.zumlink,1.1.2,linux_x86_64,freewave_technologies.zumlink-1.1.2-linux_x86_64._vdpx,2.7.5,3.9,1.38
freewave_technologies.zumlink,1.1.2,win_amd64,freewave_technologies.zumlink-1.1.2-win_amd64._vdpx,2.7.5,3.9,1.38
fs.ies,1.1.2,win_amd64,fs.ies-1.1.2-win_amd64._vdpx,2.7.5,3.9,1.38
fs.ies,1.1.2,linux_x86_64,fs.ies-1.1.2-linux_x86_64._vdpx,2.7.5,3.9,1.38
ge.fanuc,1.1.9,win_amd64,ge.fanuc-1.1.9-win_amd64._vdpx,2.7.5,3.9,1.38
ge.fanuc,1.1.9,linux_x86_64,ge.fanuc-1.1.9-linux_x86_64._vdpx,2.7.5,3.9,1.38
ge.ledr,1.1.10,win_amd64,ge.ledr-1.1.10-win_amd64._vdpx,2.7.5,3.9,1.38
ge.ledr,1.1.10,linux_x86_64,ge.ledr-1.1.10-linux_x86_64._vdpx,2.7.5,3.9,1.38
ge.mark_vie,1.1.11,win_amd64,ge.mark_vie-1.1.11-win_amd64._vdpx,2.7.5,3.9,1.38
ge.mark_vie,1.1.11,linux_x86_64,ge.mark_vie-1.1.11-linux_x86_64._vdpx,2.7.5,3.9,1.38
ge.mds,1.1.9,win_amd64,ge.mds-1.1.9-win_amd64._vdpx,2.7.5,3.9,1.38
ge.mds,1.1.9,linux_x86_64,ge.mds-1.1.9-linux_x86_64._vdpx,2.7.5,3.9,1.38
ge.micom,1.1.9,linux_x86_64,ge.micom-1.1.9-linux_x86_64._vdpx,2.7.5,3.9,1.38
