DriverName,Hostname,MACAddressVendor,TCPListeningPorts
,,"[""VMware, Inc""]","[80, 135, 139, 403, 445, 1332, 2221, 3060, 3389, 4241, 4244, 4245, 4255, 5040, 5241, 5670, 5698, 5699, 5985, 6543, 7111, 7147, 7153, 7680, 8141, 9111, 12315, 22350, 22352, 27000, 30064, 44818, 47001, 49664, 49665, 49666, 49667, 49668, 49669, 49688, 54967, 55444, 55446, 55447, 55460, 55462, 61151]"
"""ethernetip""",,"[""Rockwell Automation""]",
"""weidmuller.ie_cs""",,"[""Weidmüller Interface GmbH & Co. KG""]",
,,"[""Intel Corporate""]",
"""snmp.generic""","""sw-pcn-wildrv-1420-mcc1-02.ot.tourmalineoil.com""","[""Cisco Systems, Inc""]",
"""cisco.ios""","""sw-pcn-rest-0316-plc02-04""","[""Rockwell Automation""]","[22, 80, 443, 4786, 44818]"
"""juniper_networks.junos""","""sw-pcn-laprise-b24h-srvrack-02""","[""Xerox Corporation"", ""Juniper Networks""]",
,,"[""Westronic Systems Inc""]",
,,"[""Bristol Babcock, Inc""]",
"""juniper_networks.junos""","""sw-pcn-mull-0308-admin-01""","[""Xerox Corporation"", ""Juniper Networks""]",
"""ethernetip""",,"[""Rockwell Automation""]",
"""ethernetip""",,"[""Rockwell Automation""]",
"""ethernetip""",,"[""Caterpillar, Inc""]",
,,"[""Dell Inc""]","[135, 139, 403, 445, 623, 1332, 2221, 3060, 3389, 4241, 4244, 4245, 4255, 5040, 5241, 5670, 5698, 5699, 6543, 7111, 7147, 7153, 8884, 9111, 12315, 16992, 22350, 22352, 27000, 30064, 44818, 49664, 49665, 49666, 49667, 49668, 49669, 49670, 49671, 49688, 54967, 62027, 62037, 62044]"
,,"[""Bristol Babcock, Inc""]",
